posXX,posYY
599.99994,172.0
568.82886,509.20154
571.7462,563.6995
337.1297,428.2583
547.6524,586.7438
570.1025,602.47736
466.2971,658.6475
524.9562,669.0827
453.40826,870.8779
575.9692,744.0088
604.9378,629.5908
643.7872,680.91156
641.20056,637.92773
662.2726,627.31525
621.92487,601.8168
638.776,590.1806
613.39465,591.24884
603.6853,595.26514
600.6494,598.10834