1890,1929,2424,2461,2515,2531,2502,2510,2531,2531,2680,2819,2934
619,628,640,645,647,648,648,629,631,644,648,648,653
252,264,271,289,295,298,312,306,308,309,310,312,312
2829,2838,2847,2845,2846,2847,2805,2146,2150,2153,2155,2150,2150
335,342,348,352,350,350,357,358,357,358,360,361,363
214,218,220,221,221,201,197,197,200,201,202,202,202
947,961,972,977,988,988,987,985,993,997,1000,1002,1003
639,658,670,676,680,683,680,676,676,679,686,687,691
1989,1999,2017,2025,2028,2034,2061,2047,2099,2112,2120,2116,2109
830,870,892,896,948,952,972,909,918,929,980,994,999
186,188,189,190,190,191,195,195,200,203,207,208,208
575,580,588,592,594,595,591,617,617,622,628,629,631
372,380,382,383,383,383,383,381,381,386,390,389,386
384,385,395,396,463,464,461,454,456,461,462,463,463
127,129,130,131,134,149,150,150,147,145,146,146,146
262,265,265,265,265,265,267,268,268,268,268,268,268
107,108,107,107,107,107,107,107,111,112,112,112,112
17,17,18,19,20,20,20,40,40,40,41,41,41
9,9,10,10,10,10,10,10,10,10,10,11,10
