149,151,163,163,165,165,161,164,164,164,165,167,166
54,55,56,60,60,60,58,67,67,67,68,68,69
20,23,23,25,26,27,28,31,30,31,32,32,33
31,32,32,35,41,42,43,44,44,44,44,44,44
54,54,57,58,57,57,58,61,62,62,61,61,61
25,25,25,25,25,25,25,24,24,24,24,24,24
125,127,128,128,130,132,132,172,173,173,176,177,177
35,35,35,35,35,36,32,35,35,35,38,38,37
67,67,67,68,69,70,71,93,92,92,92,93,93
27,29,30,30,31,31,31,40,43,43,43,43,43
41,41,41,41,41,41,40,40,40,40,43,43,43
47,47,47,47,47,47,49,50,50,50,50,50,50
20,20,20,20,20,20,20,21,21,21,21,21,21
10,10,11,11,11,11,10,13,13,13,13,13,13
17,17,17,17,17,17,18,19,19,19,19,19,19
16,16,16,16,16,16,16,16,16,16,16,16,16
8,8,8,8,8,8,8,8,8,8,8,8,8
72,72,72,72,72,72,72,52,52,52,52,52,52
1,1,1,1,1,1,1,1,1,1,1,1,1
