304,304,305,308,314,316,323,313,314,298,280,272,250,253,241,236,229
131,139,145,146,149,151,156,160,156,152,152,153,148,159,148,148,146
35,35,42,42,42,55,44,63,70,73,63,66,66,70,86,89,91
95,95,113,142,147,141,149,142,150,149,163,163,162,151,151,149,151
182,207,238,291,325,328,328,322,281,267,265,266,266,267,259,253,255
27,27,28,49,51,51,50,50,49,30,29,29,29,28,28,27,27
159,159,167,209,210,179,179,169,170,175,172,167,159,146,132,131,128
55,55,58,60,67,77,81,79,80,76,77,86,77,73,78,76,78
174,174,174,176,178,182,182,185,188,192,196,213,198,194,195,187,191
29,30,31,31,53,77,78,62,54,51,52,61,54,53,55,60,60
75,75,75,76,79,79,80,80,81,79,82,86,89,90,85,88,84
69,69,69,69,70,72,73,74,76,75,75,81,78,78,78,77,78
189,189,190,194,196,196,197,198,198,199,200,202,194,195,193,192,188
91,91,93,93,95,91,96,97,92,77,75,72,69,69,69,68,67
21,21,21,21,23,26,24,25,27,28,28,28,25,23,24,26,26
10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10
53,53,54,55,55,55,54,54,54,54,54,54,59,66,75,68,59
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,2,13,14,10,0,0,0,0,0,0,0,0,0,0,0,0
